"TITLE","AUTHORS","YEAR","MAIN_LINK","DIRECT_LINK"
"Cross-lingual polarity detection with machine translation","E Demirtas, M Pechenizkiy - … Workshop on Issues of Sentiment Discovery …, 2013 - dl.acm.org",2013,"http://dl.acm.org/citation.cfm?id=2502078","https://pdfs.semanticscholar.org/6618/2e1ba6dca20f315cd952866a94f54d8ac820.pdf"
"Translation techniques in cross-language information retrieval","D Zhou, M Truran, T Brailsford, V Wade… - ACM Computing  …, 2012 - dl.acm.org",2012,"http://dl.acm.org/citation.cfm?id=2379777","http://www.cl.uni-heidelberg.de/courses/ws13/clir/ZhouETAL12.pdf"
"Author Profiling and Plagiarism Detection.","P Rosso - RuSSIR, 2014 - riunet.upv.es",2014,"https://riunet.upv.es/bitstream/handle/10251/69618/Rosso-chapter-Information-Retrieval.pdf?sequence=6","https://riunet.upv.es/bitstream/handle/10251/69618/Rosso-chapter-Information-Retrieval.pdf?sequence=6"
"Hybrid and interactive domain-specific translation for multilingual access to digital libraries","G Jones, M Fuller, E Newman, Y Zhang - … language technologies for digital …, 2011 - Springer",2011,"http://link.springer.com/content/pdf/10.1007/978-3-642-23160-5.pdf#page=81","http://doras.dcu.ie/16436/1/Hybrid_and_Interactive_Domain-Specific_Translation_for_Multilingual_Access_to_Digital_Libraries.pdf"
"The Role of Cross-Linguistic Influences in the Multilingual Communicative Competence Acquisition: A Classroom Research in the Greek Primary School Based  …","E Damaskou - 2014 - infonomics-society.ie",2014,"http://infonomics-society.ie/wp-content/uploads/iji/published-papers/volume-7-2014/The-Role-of-Cross-Linguistic-Influences.pdf","http://infonomics-society.ie/wp-content/uploads/iji/published-papers/volume-7-2014/The-Role-of-Cross-Linguistic-Influences.pdf"
"Mining named entities with temporally correlated bursts from multilingual web news streams","A Kotov, CX Zhai, R Sproat - Proceedings of the fourth ACM international  …, 2011 - dl.acm.org",2011,"http://dl.acm.org/citation.cfm?id=1935870","https://www.researchgate.net/profile/Alexander_Kotov3/publication/221519966_Mining_named_entities_with_temporally_correlated_bursts_from_multilingual_Web_news_streams/links/02e7e53b35cd1a12c6000000/Mining-named-entities-with-temporally-correlated-bursts-from-multilingual-Web-news-streams.pdf"
"Testing target text fluency: A machine learning approach to detecting syntactic translationese in English-Russian translation","M Kunilovskaya, A Kutuzov - … : Implications for translation, 2017 - books.google.com",2017,"http://books.google.com/books?hl=en&lr=&id=m4ApDwAAQBAJ&oi=fnd&pg=PA75&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=HteubgNp8U&sig=aJdKxQnM5UzQh6HZelIFJzQoM8U","http://books.google.com/books?hl=en&lr=&id=m4ApDwAAQBAJ&oi=fnd&pg=PA75&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=HteubgNp8U&sig=aJdKxQnM5UzQh6HZelIFJzQoM8U"
"A novel method for dictionary translation","R Krajewski, H Rybinski… - Journal of Intelligent  …, 2016 - researchgate.net",2016,"https://www.researchgate.net/profile/Henryk_Rybinski/publication/281677902_A_novel_method_for_dictionary_translation/links/5677d2e708ae502c99d52ca0/A-novel-method-for-dictionary-translation.pdf","https://www.researchgate.net/profile/Henryk_Rybinski/publication/281677902_A_novel_method_for_dictionary_translation/links/5677d2e708ae502c99d52ca0/A-novel-method-for-dictionary-translation.pdf"
"Handbook of natural language processing and machine translation: DARPA global autonomous language exploitation","J Olive, C Christianson, J McCary - 2011 - books.google.com",2011,"http://books.google.com/books?hl=en&lr=&id=RLSq9Wz4XiIC&oi=fnd&pg=PR6&dq=cross+language+multilingual+linguistic+detection+finding+discovery+copy+inter+multiple+translation+OR+plagiarism&ots=3mxOYqZG0J&sig=v5tfxP2RWfLZNQDnF0VblJFJcTk",NA
"Challenges from information extraction to information fusion","H Ji - …  International Conference on Computational Linguistics …, 2010 - dl.acm.org",2010,"http://dl.acm.org/citation.cfm?id=1944624","http://www.aclweb.org/anthology/C/C10/C10-2058.pdf"
